Date,Occupancy_Rate,Day_of_Week,Is_Weekend,Month,Is_Holiday_Period,Nearby_Event_Attendees,Average_Room_Rate
2023-01-01,0.6,7,1,1,1,0,224.7
2023-01-02,0.61,1,0,1,1,0,209.75
2023-01-03,0.58,2,0,1,1,0,175.26
2023-01-04,0.56,3,0,1,1,0,199.99
2023-01-05,0.63,4,0,1,1,0,203.94
2023-01-06,0.38,5,0,1,0,0,151.65
2023-01-07,0.55,6,1,1,0,0,185.93
2023-01-08,0.64,7,1,1,0,0,179.67
2023-01-09,0.41,1,0,1,0,0,173.02
2023-01-10,0.47,2,0,1,0,0,139.86
2023-01-11,0.49,3,0,1,0,27827,162.32
2023-01-12,0.44,4,0,1,0,0,151.59
2023-01-13,0.49,5,0,1,0,0,146.42
2023-01-14,0.61,6,1,1,0,0,169.47
2023-01-15,0.57,7,1,1,0,0,159.1
2023-01-16,0.46,1,0,1,0,0,150.13
2023-01-17,0.51,2,0,1,0,0,147.09
2023-01-18,0.48,3,0,1,0,0,146.84
2023-01-19,0.37,4,0,1,0,8903,185.9
2023-01-20,0.4,5,0,1,0,0,153.74
2023-01-21,0.61,6,1,1,0,0,175.05
2023-01-22,0.55,7,1,1,0,0,182.82
2023-01-23,0.45,1,0,1,0,0,136.68
2023-01-24,0.45,2,0,1,0,0,139.83
2023-01-25,0.44,3,0,1,0,27694,180.61
2023-01-26,0.44,4,0,1,0,0,156.04
2023-01-27,0.44,5,0,1,0,0,159.66
2023-01-28,0.59,6,1,1,0,0,183.32
2023-01-29,0.51,7,1,1,0,0,155.73
2023-01-30,0.5,1,0,1,0,0,167.71
2023-01-31,0.44,2,0,1,0,0,159.79
2023-02-01,0.49,3,0,2,0,0,157.1
2023-02-02,0.45,4,0,2,0,0,138.13
2023-02-03,0.47,5,0,2,0,0,167.33
2023-02-04,0.57,6,1,2,0,0,166.08
2023-02-05,0.6,7,1,2,0,0,162.11
2023-02-06,0.49,1,0,2,0,0,160.82
2023-02-07,0.51,2,0,2,0,0,145.62
2023-02-08,0.36,3,0,2,0,0,156.64
2023-02-09,0.36,4,0,2,0,0,176.69
2023-02-10,0.41,5,0,2,0,0,142.93
2023-02-11,0.63,6,1,2,0,49622,206.07
2023-02-12,0.6,7,1,2,0,0,168.8
2023-02-13,0.48,1,0,2,0,0,148.19
2023-02-14,0.47,2,0,2,0,0,151.45
2023-02-15,0.56,3,0,2,0,0,144.96
2023-02-16,0.38,4,0,2,0,0,145.83
2023-02-17,0.46,5,0,2,0,0,155.01
2023-02-18,0.63,6,1,2,0,0,156.21
2023-02-19,0.53,7,1,2,0,0,164.71
2023-02-20,0.47,1,0,2,0,0,146.28
2023-02-21,0.39,2,0,2,0,0,154.86
2023-02-22,0.34,3,0,2,0,0,152.93
2023-02-23,0.51,4,0,2,0,0,143.88
2023-02-24,0.44,5,0,2,0,0,156.5
2023-02-25,0.56,6,1,2,0,0,177.5
2023-02-26,0.63,7,1,2,0,0,183.29
2023-02-27,0.49,1,0,2,0,0,149.04
2023-02-28,0.38,2,0,2,0,0,155.35
2023-03-01,0.61,3,0,3,0,0,141.99
